STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
ASN00086282,"MELBOURNE AIRPORT, AS",18/03/2016,8.2,57,69,57
ASN00086282,"MELBOURNE AIRPORT, AS",19/03/2016,3,58,67,51
ASN00086282,"MELBOURNE AIRPORT, AS",20/03/2016,1.2,59,72,51
ASN00086282,"MELBOURNE AIRPORT, AS",21/03/2016,0,61,73,48
ASN00086282,"MELBOURNE AIRPORT, AS",22/03/2016,0,65,79,49
ASN00086282,"MELBOURNE AIRPORT, AS",23/03/2016,0,70,85,55
ASN00086282,"MELBOURNE AIRPORT, AS",24/03/2016,0.6,62,70,62
ASN00086282,"MELBOURNE AIRPORT, AS",25/03/2016,0.2,61,71,55
ASN00086282,"MELBOURNE AIRPORT, AS",26/03/2016,0,61,69,52
ASN00086282,"MELBOURNE AIRPORT, AS",27/03/2016,0.8,56,67,55
ASN00086282,"MELBOURNE AIRPORT, AS",28/03/2016,0,61,67,45
ASN00086282,"MELBOURNE AIRPORT, AS",29/03/2016,0,60,64,54
ASN00086282,"MELBOURNE AIRPORT, AS",30/03/2016,0,56,65,56
ASN00086282,"MELBOURNE AIRPORT, AS",31/03/2016,0,64,76,45
ASN00086282,"MELBOURNE AIRPORT, AS",01/04/2016,0,71,81,54
ASN00086282,"MELBOURNE AIRPORT, AS",02/04/2016,0,57,70,59
ASN00086282,"MELBOURNE AIRPORT, AS",03/04/2016,0,56,68,47
ASN00086282,"MELBOURNE AIRPORT, AS",04/04/2016,0,62,75,46
ASN00086282,"MELBOURNE AIRPORT, AS",05/04/2016,0,69,85,51
ASN00086282,"MELBOURNE AIRPORT, AS",06/04/2016,8,52,60,54
ASN00086282,"MELBOURNE AIRPORT, AS",07/04/2016,3.4,57,65,45
ASN00086282,"MELBOURNE AIRPORT, AS",08/04/2016,0,58,68,50
ASN00086282,"MELBOURNE AIRPORT, AS",09/04/2016,0,62,73,48
ASN00086282,"MELBOURNE AIRPORT, AS",10/04/2016,0,64,74,53
ASN00086282,"MELBOURNE AIRPORT, AS",11/04/2016,0,60,69,57
ASN00086282,"MELBOURNE AIRPORT, AS",12/04/2016,0,58,67,55
ASN00086282,"MELBOURNE AIRPORT, AS",13/04/2016,0,58,67,53
ASN00086282,"MELBOURNE AIRPORT, AS",14/04/2016,0,65,82,50
ASN00086282,"MELBOURNE AIRPORT, AS",15/04/2016,0,66,84,53
ASN00086282,"MELBOURNE AIRPORT, AS",16/04/2016,0,58,69,54
ASN00086282,"MELBOURNE AIRPORT, AS",17/04/2016,1.4,55,67,54
ASN00086282,"MELBOURNE AIRPORT, AS",18/04/2016,0,66,78,46
ASN00086282,"MELBOURNE AIRPORT, AS",19/04/2016,0,69,82,54
ASN00086282,"MELBOURNE AIRPORT, AS",20/04/2016,0,74,84,60
ASN00086282,"MELBOURNE AIRPORT, AS",21/04/2016,0,62,77,68
ASN00086282,"MELBOURNE AIRPORT, AS",22/04/2016,17.8,56,62,56
ASN00086282,"MELBOURNE AIRPORT, AS",23/04/2016,0.2,56,65,51
ASN00086282,"MELBOURNE AIRPORT, AS",24/04/2016,0.2,58,70,46
ASN00086282,"MELBOURNE AIRPORT, AS",25/04/2016,0,63,77,48
